1650745804903, -nan, -nan, -nan
1650745804906, -nan, -nan, -nan
1650745804908, -nan, -nan, -nan
1650745804910, -nan, -nan, -nan
1650745804913, -nan, -nan, -nan
1650745804915, -nan, -nan, -nan
1650745804916, -nan, -nan, -nan
1650745804917, -nan, -nan, -nan
1650745804919, -nan, -nan, -nan
1650745804923, -nan, -nan, -nan
1650745804926, -nan, -nan, -nan
1650745804927, -nan, -nan, -nan
1650745804928, -nan, -nan, -nan
1650745804931, -nan, -nan, -nan
1650745804932, -nan, -nan, -nan
1650745804934, -nan, -nan, -nan
1650745804936, -nan, -nan, -nan
1650745804937, -nan, -nan, -nan
1650745804939, -nan, -nan, -nan
1650745804941, -nan, -nan, -nan
1650745804946, -nan, -nan, -nan
1650745804947, -nan, -nan, -nan
1650745804948, -nan, -nan, -nan
1650745804950, -nan, -nan, -nan
1650745804951, -nan, -nan, -nan
1650745804952, -nan, -nan, -nan
1650745804954, -nan, -nan, -nan
1650745804955, -nan, -nan, -nan
1650745804956, -nan, -nan, -nan
1650745804958, -nan, -nan, -nan
1650745804960, -nan, -nan, -nan
1650745804963, -nan, -nan, -nan
1650745804965, -nan, -nan, -nan
1650745804967, -nan, -nan, -nan
1650745804968, -nan, -nan, -nan
1650745804969, -nan, -nan, -nan
1650745804971, -nan, -nan, -nan
1650745804973, -nan, -nan, -nan
1650745804975, -nan, -nan, -nan
1650745804976, -nan, -nan, -nan
1650745804979, -nan, -nan, -nan
1650745804981, -nan, -nan, -nan
1650745804982, -nan, -nan, -nan
1650745804984, -nan, -nan, -nan
1650745804985, -nan, -nan, -nan
1650745804987, -nan, -nan, -nan
1650745804988, -nan, -nan, -nan
1650745804994, -nan, -nan, -nan
1650745804996, -nan, -nan, -nan
1650745804998, -nan, -nan, -nan
1650745804999, -nan, -nan, -nan
1650745805001, -nan, -nan, -nan
1650745805002, -nan, -nan, -nan
1650745805004, -nan, -nan, -nan
1650745805006, -nan, -nan, -nan
1650745805008, -nan, -nan, -nan
1650745805010, -nan, -nan, -nan
1650745805013, -nan, -nan, -nan
1650745805016, -nan, -nan, -nan
1650745805018, -nan, -nan, -nan
1650745805019, -nan, -nan, -nan
1650745805022, -nan, -nan, -nan
1650745805024, -nan, -nan, -nan
1650745805027, -nan, -nan, -nan
1650745805029, -nan, -nan, -nan
1650745805031, -nan, -nan, -nan
1650745805033, -nan, -nan, -nan
1650745805034, -nan, -nan, -nan
1650745805036, -nan, -nan, -nan
1650745805038, -nan, -nan, -nan
1650745805041, -nan, -nan, -nan
1650745805044, -nan, -nan, -nan
1650745805046, -nan, -nan, -nan
1650745805048, -nan, -nan, -nan
1650745805055, -nan, -nan, -nan
1650745805057, -nan, -nan, -nan
1650745805058, -nan, -nan, -nan
1650745805059, -nan, -nan, -nan
1650745805061, -nan, -nan, -nan
1650745805062, -nan, -nan, -nan
1650745805064, -nan, -nan, -nan
1650745805066, -nan, -nan, -nan
1650745805067, -nan, -nan, -nan
1650745805070, -nan, -nan, -nan
1650745805071, -nan, -nan, -nan
1650745805072, -nan, -nan, -nan
1650745805073, -nan, -nan, -nan
1650745805075, -nan, -nan, -nan
1650745805076, -nan, -nan, -nan
1650745805078, -nan, -nan, -nan
1650745805084, -nan, -nan, -nan
1650745805086, -nan, -nan, -nan
1650745805088, -nan, -nan, -nan
1650745805089, -nan, -nan, -nan
1650745805091, -nan, -nan, -nan
